Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%
Male,590-83-4591,B,Mandalay,Member,Electronic accessories,87.45,6,26.235
Male,597-78-7908,C,Naypyitaw,Normal,Fashion accessories,90.22,3,13.533
Male,241-72-9525,B,Mandalay,Normal,Sports and travel,51.91,10,25.955
Male,575-30-8091,A,Yangon,Normal,Sports and travel,72.5,8,29
Male,280-17-4359,C,Naypyitaw,Member,Health and beauty,90.5,10,45.25
Male,568-90-5112,C,Naypyitaw,Normal,Health and beauty,66.14,4,13.228
Male,262-47-2794,B,Mandalay,Member,Home and lifestyle,71.86,8,28.744
Male,238-49-0436,A,Yangon,Normal,Health and beauty,32.46,8,12.984
Male,584-86-7256,C,Naypyitaw,Member,Sports and travel,34.56,7,12.096
Male,746-94-0204,A,Yangon,Normal,Fashion accessories,83.24,9,37.458
Male,782-95-9291,A,Yangon,Member,Food and beverages,92.29,5,230.725
Male,279-74-2924,B,Mandalay,Member,Electronic accessories,72.17,1,3.6085
Male,307-85-2293,B,Mandalay,Normal,Home and lifestyle,50.28,5,12.57
Male,743-04-1105,B,Mandalay,Member,Health and beauty,97.22,9,43.749
Male,423-57-2993,B,Mandalay,Normal,Sports and travel,93.39,6,28.017
Male,275-28-0149,A,Yangon,Normal,Sports and travel,63.69,1,3.1845
Male,101-17-6199,A,Yangon,Normal,Food and beverages,45.79,7,160.265
Male,423-80-0988,C,Naypyitaw,Normal,Sports and travel,76.4,2,7.64
Male,548-46-9322,B,Mandalay,Normal,Food and beverages,39.9,10,19.95
Male,505-02-0892,B,Mandalay,Member,Health and beauty,42.57,8,17.028
Male,234-65-2137,C,Naypyitaw,Normal,Home and lifestyle,95.58,10,47.79
Male,687-47-8271,A,Yangon,Normal,Fashion accessories,98.98,10,49.49
Male,796-32-9050,A,Yangon,Normal,Food and beverages,51.28,6,15.384
Male,105-31-1824,A,Yangon,Member,Sports and travel,69.52,7,24.332
Male,249-42-3782,A,Yangon,Normal,Health and beauty,70.01,5,175.025
Male,316-55-4634,B,Mandalay,Member,Food and beverages,80.05,5,200.125
Male,733-33-4967,C,Naypyitaw,Normal,Electronic accessories,20.85,8,8.34
Male,608-27-6295,B,Mandalay,Member,Electronic accessories,52.89,6,15.867
Male,414-12-7047,B,Mandalay,Normal,Food and beverages,19.79,8,7.916
Male,827-26-2100,A,Yangon,Member,Home and lifestyle,33.84,9,15.228
Male,175-54-2529,A,Yangon,Member,Food and beverages,22.17,8,8.868
Male,407-63-8975,A,Yangon,Normal,Food and beverages,73.88,6,22.164
Male,342-65-4817,C,Naypyitaw,Member,Health and beauty,86.8,3,13.02
Male,130-98-8941,C,Naypyitaw,Normal,Fashion accessories,64.26,7,22.491
Male,434-83-9547,C,Naypyitaw,Member,Food and beverages,38.47,8,15.388
Male,851-28-6367,A,Yangon,Member,Sports and travel,15.5,10,7.75
Male,824-88-3614,C,Naypyitaw,Normal,Health and beauty,34.31,8,13.724
Male,895-66-0685,B,Mandalay,Member,Food and beverages,18.08,3,2.712
Male,732-04-5373,B,Mandalay,Member,Home and lifestyle,46.47,4,9.294
Male,400-60-7251,A,Yangon,Normal,Home and lifestyle,74.07,1,3.7035
Male,641-43-2399,B,Mandalay,Normal,Home and lifestyle,25.55,4,5.11
Male,831-07-6050,A,Yangon,Normal,Electronic accessories,32.71,5,8.1775
Male,848-24-9445,C,Naypyitaw,Member,Health and beauty,43.7,2,4.37
Male,699-01-4164,C,Naypyitaw,Normal,Health and beauty,41.5,4,8.3
Male,426-39-2418,C,Naypyitaw,Normal,Electronic accessories,61.41,7,214.935
Male,875-46-5808,B,Mandalay,Member,Health and beauty,25.9,10,12.95
Male,394-43-4238,B,Mandalay,Member,Home and lifestyle,17.77,5,4.4425
Male,888-02-0338,A,Yangon,Normal,Electronic accessories,26.23,9,11.8035
Male,142-63-6033,B,Mandalay,Normal,Home and lifestyle,92.36,5,23.09
Male,656-16-1063,B,Mandalay,Normal,Sports and travel,46.42,3,6.963
Male,802-43-8934,A,Yangon,Normal,Home and lifestyle,18.28,1,914
Male,549-03-9315,B,Mandalay,Normal,Fashion accessories,94.87,8,37.948
Male,239-36-3640,B,Mandalay,Normal,Electronic accessories,45.35,6,13.605
Male,468-01-2051,B,Mandalay,Normal,Food and beverages,62.08,7,21.728
Male,389-25-3394,C,Naypyitaw,Normal,Electronic accessories,11.81,5,2.9525
Male,213-72-6612,A,Yangon,Normal,Food and beverages,43.25,2,4.325
Male,836-82-5858,B,Mandalay,Member,Health and beauty,69.37,9,312.165
Male,583-72-1480,C,Naypyitaw,Member,Electronic accessories,37.06,4,7.412
Male,269-04-5750,B,Mandalay,Member,Fashion accessories,73.82,4,14.764
Male,157-13-5295,A,Yangon,Member,Health and beauty,51.94,10,25.97
Male,211-30-9270,C,Naypyitaw,Normal,Health and beauty,17.41,5,4.3525
Male,478-06-7835,A,Yangon,Normal,Fashion accessories,89.69,1,4.4845
Male,540-11-4336,A,Yangon,Normal,Food and beverages,24.94,9,11.223
Male,448-81-5016,A,Yangon,Normal,Health and beauty,59.77,2,5.977
Male,142-72-4741,C,Naypyitaw,Member,Fashion accessories,93.2,2,9.32
Male,217-58-1179,A,Yangon,Member,Home and lifestyle,62.65,4,12.53
Male,376-02-8238,B,Mandalay,Normal,Home and lifestyle,93.87,8,37.548
Male,530-90-9855,A,Yangon,Member,Home and lifestyle,47.59,8,19.036
Male,604-70-6476,A,Yangon,Member,Fashion accessories,17.94,5,4.485
Male,799-71-1548,A,Yangon,Member,Electronic accessories,77.72,4,15.544
Male,785-13-7708,B,Mandalay,Normal,Food and beverages,73.06,7,25.571
Male,845-51-0542,B,Mandalay,Member,Food and beverages,46.55,9,209.475
Male,662-47-5456,C,Naypyitaw,Member,Fashion accessories,35.19,10,17.595
Male,290-68-2984,A,Yangon,Normal,Home and lifestyle,23.75,4,4.75
Male,704-11-6354,A,Yangon,Member,Home and lifestyle,58.9,8,23.56
Male,110-48-7033,B,Mandalay,Member,Fashion accessories,32.62,4,6.524
Male,366-93-0948,A,Yangon,Member,Electronic accessories,66.35,1,3.3175
Male,729-09-9681,A,Yangon,Member,Home and lifestyle,25.91,6,7.773
Male,151-16-1484,A,Yangon,Member,Electronic accessories,32.25,4,6.45
Male,380-94-4661,C,Naypyitaw,Member,Electronic accessories,65.94,4,13.188
Male,154-74-7179,B,Mandalay,Normal,Sports and travel,54.45,1,2.7225
Male,808-65-0703,C,Naypyitaw,Normal,Home and lifestyle,35.47,4,7.094
Male,144-51-6085,A,Yangon,Member,Home and lifestyle,70.74,4,14.148
Male,566-19-5475,B,Mandalay,Normal,Fashion accessories,47.97,7,167.895
Male,537-72-0426,C,Naypyitaw,Member,Fashion accessories,70.99,10,35.495
Male,828-61-5674,A,Yangon,Member,Sports and travel,44.02,10,22.01
Male,523-38-0215,C,Naypyitaw,Normal,Home and lifestyle,37,1,1.85
Male,667-92-0055,A,Yangon,Member,Health and beauty,99.83,6,29.949
Male,498-41-1961,B,Mandalay,Normal,Health and beauty,66.68,5,16.67
Male,593-95-4461,C,Naypyitaw,Member,Home and lifestyle,74.86,1,3.743
Male,139-20-0155,B,Mandalay,Member,Electronic accessories,40.3,10,20.15
Male,558-80-4082,C,Naypyitaw,Normal,Electronic accessories,27.85,7,9.7475
Male,585-03-5943,B,Mandalay,Normal,Health and beauty,18.11,10,9.055
Male,727-75-6477,C,Naypyitaw,Normal,Electronic accessories,28.84,4,5.768
Male,744-02-5987,A,Yangon,Member,Home and lifestyle,78.38,6,23.514
Male,307-83-9164,A,Yangon,Member,Home and lifestyle,60.01,4,12.002
Male,446-47-6729,C,Naypyitaw,Normal,Fashion accessories,99.82,2,9.982
Male,573-10-3877,B,Mandalay,Member,Health and beauty,39.01,1,1.9505
Male,735-06-4124,C,Naypyitaw,Normal,Food and beverages,48.61,1,2.4305
Male,411-77-0180,A,Yangon,Member,Electronic accessories,72.2,7,25.27
Male,532-59-7201,B,Mandalay,Member,Sports and travel,79.93,6,23.979
Male,181-94-6432,C,Naypyitaw,Member,Fashion accessories,69.33,2,6.933
Male,174-36-3675,C,Naypyitaw,Member,Food and beverages,99.37,2,9.937
Male,603-07-0961,C,Naypyitaw,Member,Electronic accessories,74.79,5,186.975
Male,787-15-1757,C,Naypyitaw,Member,Health and beauty,44.07,4,8.814
Male,372-94-8041,A,Yangon,Normal,Health and beauty,15.26,6,4.578
Male,746-54-5508,A,Yangon,Normal,Home and lifestyle,21.52,6,6.456
Male,276-54-0879,B,Mandalay,Normal,Sports and travel,97.74,4,19.548
Male,815-11-1168,A,Yangon,Member,Food and beverages,99.78,5,24.945
Male,719-76-3868,C,Naypyitaw,Member,Food and beverages,94.26,4,18.852
Male,730-61-8757,B,Mandalay,Member,Health and beauty,51.13,4,10.226
Male,340-66-0321,A,Yangon,Member,Electronic accessories,36.36,4,7.272
Male,868-81-1752,B,Mandalay,Normal,Home and lifestyle,22.02,9,9.909
Male,634-97-8956,A,Yangon,Normal,Food and beverages,32.9,3,4.935
Male,566-71-1091,A,Yangon,Normal,Fashion accessories,77.02,5,19.255
Male,442-48-3607,A,Yangon,Member,Food and beverages,23.48,2,2.348
Male,835-16-0096,C,Naypyitaw,Member,Sports and travel,14.7,5,3.675
Male,898-04-2717,A,Yangon,Normal,Fashion accessories,76.4,9,34.38
Male,378-07-7001,B,Mandalay,Member,Electronic accessories,48.09,3,7.2135
Male,150-89-8043,A,Yangon,Normal,Sports and travel,44.65,3,6.6975
Male,441-94-7118,A,Yangon,Member,Electronic accessories,71.95,1,3.5975
Male,531-80-1784,A,Yangon,Normal,Electronic accessories,26.02,7,9.107
Male,834-61-8124,A,Yangon,Normal,Electronic accessories,51.69,7,180.915
Male,565-67-6697,B,Mandalay,Member,Home and lifestyle,27,9,12.15
Male,453-63-6187,B,Mandalay,Normal,Electronic accessories,27.5,3,4.125
Male,578-80-7669,B,Mandalay,Normal,Sports and travel,74.97,1,3.7485
Male,612-36-5536,A,Yangon,Member,Food and beverages,80.96,8,32.384
Male,471-41-2823,C,Naypyitaw,Normal,Food and beverages,99.79,2,9.979
Male,462-67-9126,A,Yangon,Normal,Home and lifestyle,73.22,6,21.966
Male,468-88-0009,A,Yangon,Member,Home and lifestyle,65.94,4,13.188
Male,254-31-0042,A,Yangon,Member,Electronic accessories,21.5,9,9.675
Male,382-25-8917,C,Naypyitaw,Normal,Fashion accessories,42.08,6,12.624
Male,743-88-1662,C,Naypyitaw,Normal,Sports and travel,95.49,7,334.215
Male,595-86-2894,C,Naypyitaw,Member,Fashion accessories,96.98,4,19.396
Male,289-15-7034,A,Yangon,Member,Sports and travel,82.33,4,16.466
Male,525-88-7307,B,Mandalay,Member,Sports and travel,75.82,1,3.791
Male,689-16-9784,C,Naypyitaw,Normal,Food and beverages,46.77,6,14.031
Male,596-42-3999,B,Mandalay,Normal,Food and beverages,18.22,7,6.377
Male,563-36-9814,A,Yangon,Member,Electronic accessories,76.82,1,3.841
Male,760-54-1821,B,Mandalay,Normal,Home and lifestyle,13.59,9,6.1155
Male,346-12-3257,B,Mandalay,Member,Electronic accessories,19.24,9,8.658
Male,651-61-0874,C,Naypyitaw,Normal,Home and lifestyle,46.22,4,9.244
Male,236-86-3015,C,Naypyitaw,Member,Home and lifestyle,13.98,1,699
Male,882-40-4577,A,Yangon,Member,Sports and travel,67.26,4,13.452
Male,732-67-5346,A,Yangon,Normal,Food and beverages,13.79,5,3.4475
Male,569-71-4390,B,Mandalay,Normal,Sports and travel,21.87,2,2.187
Male,132-23-6451,A,Yangon,Member,Health and beauty,20.97,5,5.2425
Male,696-90-2548,A,Yangon,Normal,Sports and travel,25.84,3,3.876
Male,472-15-9636,A,Yangon,Normal,Home and lifestyle,50.93,8,20.372
Male,268-03-6164,B,Mandalay,Normal,Health and beauty,96.11,1,4.8055
Male,301-81-8610,B,Mandalay,Member,Fashion accessories,25.42,8,10.168
Male,489-64-4354,C,Naypyitaw,Normal,Fashion accessories,16.28,1,814
Male,198-84-7132,B,Mandalay,Member,Fashion accessories,40.61,9,182.745
Male,269-10-8440,A,Yangon,Member,Health and beauty,53.17,7,186.095
Male,741-73-3559,B,Mandalay,Normal,Sports and travel,67.27,5,168.175
Male,286-75-7818,B,Mandalay,Normal,Fashion accessories,69.08,2,6.908
Male,574-57-9721,C,Naypyitaw,Normal,Food and beverages,43.27,2,4.327
Male,616-87-0016,B,Mandalay,Normal,Fashion accessories,95.54,7,33.439
Male,751-69-0068,C,Naypyitaw,Normal,Sports and travel,99.24,9,44.658
Male,257-73-1380,C,Naypyitaw,Member,Sports and travel,82.93,4,16.586
Male,345-08-4992,A,Yangon,Normal,Home and lifestyle,33.99,6,10.197
Male,549-96-4200,C,Naypyitaw,Member,Food and beverages,17.04,4,3.408
Male,450-28-2866,C,Naypyitaw,Member,Food and beverages,17.44,5,4.36
Male,192-98-7397,C,Naypyitaw,Normal,Fashion accessories,12.78,1,639
Male,235-46-8343,C,Naypyitaw,Member,Food and beverages,27.66,10,13.83
Male,453-12-7053,C,Naypyitaw,Normal,Fashion accessories,45.74,3,6.861
Male,744-09-5786,B,Mandalay,Normal,Electronic accessories,22.01,6,6.603
Male,568-88-3448,A,Yangon,Normal,Health and beauty,25,1,1.25
Male,187-83-5490,A,Yangon,Member,Electronic accessories,20.77,4,4.154
Male,533-33-5337,B,Mandalay,Normal,Electronic accessories,79.39,10,39.695
Male,729-46-7422,C,Naypyitaw,Normal,Food and beverages,35.89,1,1.7945
Male,639-76-1242,C,Naypyitaw,Normal,Food and beverages,40.52,5,10.13
Male,470-32-9057,A,Yangon,Member,Food and beverages,51.34,5,12.835
Male,554-53-3790,B,Mandalay,Normal,Sports and travel,37.02,6,11.106
Male,746-19-0921,C,Naypyitaw,Normal,Food and beverages,21.58,1,1.079
Male,405-31-3305,A,Yangon,Member,Fashion accessories,43.13,10,21.565
Male,731-59-7531,B,Mandalay,Member,Health and beauty,72.57,8,29.028
Male,502-05-1910,A,Yangon,Normal,Health and beauty,65.18,3,9.777
Male,598-47-9715,C,Naypyitaw,Normal,Electronic accessories,84.07,4,16.814
Male,701-69-8742,B,Mandalay,Normal,Sports and travel,34.37,10,17.185
Male,575-67-1508,A,Yangon,Normal,Electronic accessories,38.6,1,1.93
Male,541-08-3113,C,Naypyitaw,Normal,Food and beverages,65.97,8,26.388
Male,674-15-9296,A,Yangon,Normal,Sports and travel,37.14,5,9.285
Male,305-18-3552,B,Mandalay,Member,Home and lifestyle,60.38,10,30.19
Male,795-49-7276,A,Yangon,Normal,Fashion accessories,37.15,4,7.43
Male,556-72-8512,C,Naypyitaw,Normal,Home and lifestyle,22.96,1,1.148
Male,437-53-3084,B,Mandalay,Normal,Fashion accessories,99.89,2,9.989
Male,632-32-4574,B,Mandalay,Normal,Sports and travel,75.92,8,30.368
Male,277-63-2961,B,Mandalay,Member,Sports and travel,73.97,1,3.6985
Male,620-02-2046,C,Naypyitaw,Normal,Home and lifestyle,69.4,2,6.94
Male,511-54-3087,B,Mandalay,Normal,Sports and travel,88.45,1,4.4225
Male,726-29-6793,A,Yangon,Member,Electronic accessories,24.18,8,9.672
Male,291-21-5991,B,Mandalay,Member,Health and beauty,61.29,5,153.225
Male,189-52-0236,A,Yangon,Normal,Electronic accessories,99.55,7,348.425
Male,503-07-0930,C,Naypyitaw,Member,Sports and travel,58.39,7,204.365
Male,425-85-2085,B,Mandalay,Member,Health and beauty,54.86,5,13.715
Male,521-18-7827,C,Naypyitaw,Member,Home and lifestyle,39.39,5,9.8475
Male,220-28-1851,A,Yangon,Normal,Home and lifestyle,34.73,2,3.473
Male,600-38-9738,C,Naypyitaw,Member,Sports and travel,71.92,5,17.98
Male,133-14-7229,C,Naypyitaw,Normal,Health and beauty,62.87,2,6.287
Male,534-01-4457,A,Yangon,Normal,Food and beverages,81.71,6,24.513
Male,286-62-6248,B,Mandalay,Normal,Fashion accessories,39.21,4,7.842
Male,339-38-9982,B,Mandalay,Member,Fashion accessories,59.86,2,5.986
Male,827-77-7633,A,Yangon,Normal,Sports and travel,98.09,9,441.405
Male,287-83-1405,A,Yangon,Normal,Health and beauty,25.43,6,7.629
Male,435-13-4908,A,Yangon,Member,Fashion accessories,86.68,8,34.672
Male,857-67-9057,B,Mandalay,Normal,Electronic accessories,22.95,10,11.475
Male,583-41-4548,C,Naypyitaw,Normal,Home and lifestyle,16.67,7,5.8345
Male,643-38-7867,A,Yangon,Normal,Home and lifestyle,97.94,1,4.897
Male,460-35-4390,A,Yangon,Normal,Home and lifestyle,30.68,3,4.602
Male,343-87-0864,C,Naypyitaw,Member,Health and beauty,75.88,1,3.794
Male,243-47-2663,C,Naypyitaw,Member,Electronic accessories,18.77,6,5.631
